dhaatva~NkaH	dhaatunaama	saMskRRitabhaaShaarthaH	Meaning	hindii bhaaShaartha	gaNaH (padaH)	dhaatuH	laT (pra eka)	laT (pra bahu)	lRRi (pra eka)	luT (pra eka)	shatranta-shaanajanta	tvaa-pratyaya
309	idu	paramaishvarye| paramaishvaryaM parameshanakriyaa	To be Lord	svaamii honaa	bhvaadi (pa)	ind	indati	indanti	indiShyati	inditaa	indat	inditvaa
310	vidu	avayave| avayava ekadeshaH anenasvagataa kriyaa laxyate|	To act in one part	eka bhaaga meM kriyaa karanaa	bhvaadi (pa)	vind	vindati	vindanti	vindiShyati	vinditaa	vindat	vinditvaa
311	Nidu	kutsaayaam	To censure	nindaa karanaa	bhvaadi (pa)	nind	nindati	nindanti	nindiShyati	ninditaa	nindat	ninditvaa
312	Tunadu	samRRiddhau	To be prosperous	samRRiddha honaa	bhvaadi (pa)	nand	nandati	nandanti	nandiShyati	nanditaa	nandat	nanditvaa
313	cadu	diiptyaahlaadanayoH| aahlaadanamaanandotpaadanam	"To shine, to make delightful"	"camakanaa, harShita honaa"	bhvaadi (pa)	cand	candati	candanti	candiShyati	canditaa	candat	canditvaa
314	tratu	ceShTaayaa|	To act	ceShTaa karanaa	bhvaadi (pa)	trand	trandati	trandanti	trandiShyati	tranditaa	trandat	tranditvaa
315	kadu	rodanaahvaanayoH|	"To cry, to call"	"cillaanaa, bulaanaa"	bhvaadi (pa)	kand	kandati	kandanti	kandiShyati	kanditaa	kandat	kanditvaa
316	kradu	rodanaahvaanayoH|	"To cry, to call"	"cillaanaa, bulaanaa"	bhvaadi (pa)	krand	krandati	krandanti	krandiShyati	kranditaa	krandat	kranditvaa
317	kladu	rodanaahvaanayoH|	"To cry, to call"	"cillaanaa, bulaanaa"	bhvaadi (pa)	kland	klandati	klandanti	klandiShyati	klanditaa	klandat	klanditvaa
318	klidu	paridevane| paridevanaM shocanam	To lament	rodana karanaa	bhvaadi (pa)	klind	klindati	klindanti	klindiShyati	klinditaa	klindat	klinditvaa
319	skandRRi	gatishoShaNayoH	"To go, to dry"	"jaanaa, sukhaanaa"	bhvaadi (pa)	skand	skandati	skandanti	skantsyati	skantaa	skandat	skantitvaa
||atha dhaantaastrayaH||												
320	Shidhuu	gatyaam	To go	jaanaa	bhvaadi (pa)	sidh	sedhati	sedhanti	sedhiShyati	sedhitaa	sedhat	sedhitvaa
321	Shidhau	shaastramaa~NgalyayoH| shaastraM shaastraviShayaM shaasanam| maa~NgalyaM ma~NgalaviShyaakriyaa	To advise in scriptures	shaatrayukta salaaha denaa	bhvaadi (pa)	sidh	sedhati	sedhanti	sedhiShyati	sedhitaa	sedhat	sedhitvaa
322	shundha	suddhau	To be pure	shuddha karanaa	bhvaadi (pa)	shundh	shundhati	shundanti	shundhiShyati	shundhitaa	shundhat	shundhitvaa
||atha naantaa seTashca||												
323	stana	shabde	To sound	shabda karanaa	bhvaadi (pa)	stan	stanati	stananti	staniShyati	stanitaa	stanat	stanitvaa
324	dhana	shabde	To sound	shabda karanaa	bhvaadi (pa)	dhan	dhanati	dhananti	dhaniShyati	dhanitaa	dhanat	dhanitvaa
325	dhvana	shabde	To sound	shabda karanaa	bhvaadi (pa)	dhvan	dhvanati	dhvananti	dhvaniShyati	dhvanitaa	dhvanat	dhvanitvaa
326	cana	shabde	To sound	shabda karanaa	bhvaadi (pa)	can	canati	cananti	caniShyati	canitaa	canat	canitvaa
327	svana	shabde	To sound	shabda karanaa	bhvaadi (pa)	svan	svanati	svananti	svaniShyati	svanitaa	svanat	svanitvaa
328	vana	shabde	To sound	shabda karanaa	bhvaadi (pa)	van	vanati	vananti	vaniShyati	vanitaa	vanat	vanitvaa
329	vana	bhaktau| bhaktirbhajanam|	"To pray to god, to go"	"praarthanaa karanaa, jaanaa"	bhvaadi (pa)	van	vanati	vananti	vaniShyati	vanitaa	vanat	vanitvaa
330	Shana	bhaktau| bhaktirbhajanam|	"To pray to god, to go"	"praarthanaa karanaa, jaanaa"	bhvaadi (pa)	san	sanati	sananti	saniShyati	sanitaa	sanat	sanitvaa
331	kanai	diiptikaantigatiShu| diiptiH prakaashaH| kantiH shobhaaH|	"To shine, to be beautiful"	"camakanaa, sundara dikhanaa"	bhvaadi (pa)	kan	kanati	kananti	kaniShyati	kanitaa	kanat	kanitvaa
332	gupau	raxaNe	To protect	raxaa karanaa	bhvaadi (pa)	gup-gopaay	gopaayati	gopaayanti	gopiShyati	gopitaa	gopaayat	gopitvaa
333	tarpa	saMtaape	To be hot or suffer pain	santapta honaa	bhvaadi (pa)	tap	tapati	tapanti	tapsyati	taptaa	tapat	taptvaa
334	dhuupa	saMtaape	To be hot or suffer pain	santapta honaa	bhvaadi (pa)	dhuup-ghuupaay	dhuupaayati	dhuupaayanti	dhuupiShyati	dhuupitaa	dhuupaayat	dhuupitvaa
335	rapa	vyakte vacane	To speak distinctly	spaShTa bolanaa	bhvaadi (pa)	rap	rapati	rapanti	rapiShyati	rapitaa	rapat	rapitvaa
336	lapa	vyakte vacane	To speak distinctly	spaShTa bolanaa	bhvaadi (pa)	lap	lapati	lapanti	lapiShyati	lapitaa	lapat	lapitvaa
337	jalpa	vyakte vacane	To speak distinctly	spaShTa bolanaa	bhvaadi (pa)	jalp	jalpati	jalpanti	jalpiShyati	jalpitaa	jalpat	jalpitvaa
338	japa	maanase ca| manonirvatye vacane| vacane| cakaaraadvyakte vacane	"To mutter, to speak"	"japa karanaa, bolanaa"	bhvaadi (pa)	jap	japati	japanti	japiShyati	japitaa	japat	japitvaa
339	capa	saantvane	To console	saantvanaa denaa	bhvaadi (pa)	cap	capati	capanti	capiShyati	capitaa	capat	capitvaa
340	Shapa	samavaaye	To unite	eka honaa	bhvaadi (pa)	sap	sapati	sapanti	sapiShyati	sapitaa	sapat	sapitvaa
341	sRRiplRRi	gatau	To go	jaanaa	bhvaadi (pa)	sarp	sarpati	sarpanti	sarpiShyati	sarpitaa	sarpat	sarpitvaa
342	cupa	mandaayaam| gataa-vityanuvRRittermandaayaaM gatau	To go slowly	dhiire jaanaa	bhvaadi (pa)	cup	copati	copanti	copiShyati	copitaa	copat	copitvaa
343	tupa	mandaayaam| gataa-vityanuvRRittermandaayaaM gatau	To go slowly	dhiire jaanaa	bhvaadi (pa)	tup	topati	topanti	topiShyati	topitaa	topat	topitvaa
344	tumpa	mandaayaam| gataa-vityanuvRRittermandaayaaM gatau	To go slowly	dhiire jaanaa	bhvaadi (pa)	tump	tumpati	tumpanti	tumpiShyati	tumpitaa	tumpat	tumpitvaa
345	trupa	mandaayaam| gataa-vityanuvRRittermandaayaaM gatau	To go slowly	dhiire jaanaa	bhvaadi (pa)	trup	tropati	tropanti	tropiShyati	tropitaa	tropat	tropitvaa
346	trumpai	mandaayaam| gataa-vityanuvRRittermandaayaaM gatau	To go slowly	dhiire jaanaa	bhvaadi (pa)	trump	trumpati	trumpanti	trumpiShyati	trumpitaa	trumpat	trumpitvaa
347	tupha	mandaayaam| gataa-vityanuvRRittermandaayaaM gatau	To go slowly	dhiire jaanaa	bhvaadi (pa)	tuph	tophati	tophanti	tophiShyati	tophitaa	tophat	tophitvaa
348	tumpha	mandaayaam| gataa-vityanuvRRittermandaayaaM gatau	To go slowly	dhiire jaanaa	bhvaadi (pa)	tumph	tumphati	tumphanti	tumphiShyati	tumphitaa	tumphat	tumphitvaa
349	trupha	mandaayaam| gataa-vityanuvRRittermandaayaaM gatau	To go slowly	dhiire jaanaa	bhvaadi (pa)	truph	trophati	trophanti	trophiShyati	trophitaa	trophat	trophitvaa
350	trumpha	mandaayaam| gataa-vityanuvRRittermandaayaaM gatau	To go slowly	dhiire jaanaa	bhvaadi (pa)	trumph	trumphati	trumphanti	trumphiShyati	trumphitaa	trumphat	trumphitvaa
351	varpha	gatau	To go	jaanaa	bhvaadi (pa)	varph	varphati	varphanti	varphiShyati	varphitaa	varphat	varphitvaa
352	rapha	gatau	To go	jaanaa	bhvaadi (pa)	raph	raphati	raphanti	raphiShyati	raphitaa	raphat	raphitvaa
353	rephu	gatau	To go	jaanaa	bhvaadi (pa)	ramph	ramphati	ramphanti	ramphiShyati	ramphitaa	ramphat	ramphitvaa
||atha baantaa aShTaadasha seTashca||												
354	arba	gatau	To go	jaanaa	bhvaadi (pa)	arb	arbati	arbanti	arbiShyati	arbitaa	arbat	arbitvaa
355	karba	gatau	To go	jaanaa	bhvaadi (pa)	karb	karbati	karbanti	karbiShyati	karbitaa	karbat	karbitvaa
356	kharba	gatau	To go	jaanaa	bhvaadi (pa)	kharb	kharbati	kharbanti	kharbiShyati	kharbitaa	kharbat	kharbitvaa
357	garba	gatau	To go	jaanaa	bhvaadi (pa)	garb	garbati	garbanti	garbiShyati	garbitaa	garbat	garbitvaa
358	carba	gatau	To go	jaanaa	bhvaadi (pa)	carb	carbati	carbanti	carbiShyati	carbitaa	carbat	carbitvaa
359	tarba	gatau	To go	jaanaa	bhvaadi (pa)	tarb	tarbati	tarbanti	tarbiShyati	tarbitaa	tarbat	tarbitvaa
360	narba	gatau	To go	jaanaa	bhvaadi (pa)	narb	narbati	narbanti	narbiShyati	narbitaa	narbat	narbitvaa
361	parba	gatau	To go	jaanaa	bhvaadi (pa)	parb	parbati	parbanti	parbiShyati	parbitaa	parbat	parbitvaa
362	barba	gatau	To go	jaanaa	bhvaadi (pa)	barb	barbati	barbanti	barbiShyati	barbitaa	barbat	barbitvaa
363	sharba	gatau	To go	jaanaa	bhvaadi (pa)	sharb	sharbati	sharbanti	sharbiShyati	sharbitaa	sharbat	sharbitvaa
364	Sharba	gatau	To go	jaanaa	bhvaadi (pa)	sarb	sarbati	sarbanti	sarbiShyati	sarbitaa	sarbat	sarbitvaa
365	sarba	gatau	To go	jaanaa	bhvaadi (pa)	sarb	sarbati	sarbanti	sarbiShyati	sarbitaa	sarbat	sarbitvaa
366	ribu	gatau	To go	jaanaa	bhvaadi (pa)	rimb	rimbati	rimbanti	rimbiShyati	rimbitaa	rimbat	rimbitvaa
367	rabu	gatau	To go	jaanaa	bhvaadi (pa)	ramb	rambati	rambanti	rambiShyati	rambitaa	rambat	rambitvaa
368	kubu	aacchhaadane	To cover	Dh.Nkanaa	bhvaadi (pa)	kumb	kumbati	kumbanti	kumbiShyati	kumbitaa	kumbat	kumbitvaa
369	lubu	ardane	To pain	kaShTa denaa	bhvaadi (pa)	lumb	lumbati	lumbanti	lumbiShyati	lumbitaa	lumbat	lumbitvaa
370	jubu	ardane	To pain	kaShTa denaa	bhvaadi (pa)	tumb	tumbati	tumbanti	tumbiShyati	tumbitaa	tumbat	tumbitvaa
371	cubu	vaktrasaMyoge	To kiss	cumbana karanaa	bhvaadi (pa)	cumb	cumbati	cumbanti	cumbiShyati	cumbitaa	cumbat	cumbitvaa
372	sRRibhuu	hiMsaayaam	To kill	maaranaa	bhvaadi (pa)	sRRibh	sarbhati	sarbhanti	sarbhiShyati	sarbhitaa	sarbhat	sarbhitvaa
373	sRRimbhuu	hiMsaayaam	To kill	maaranaa	bhvaadi (pa)	sRRimbh	sRRimbhati	sRRimbhanti	sRRimbhiShyati	sRRimbhitaa	sRRimbhat	sRRimbhitvaa
374	sribhuu	hiMsaayaam	To kill	maaranaa	bhvaadi (pa)	sribh	srebhati	srebhanti	srebhiShyati	srebhitaa	srebhat	srebhitvaa
375	Shimbhuu	hiMsaayaam	To kill	maaranaa	bhvaadi (pa)	simbh	simbhati	simbhanti	simbhiShyati	simbhitaa	simbhat	simbhitvaa
376	bharbha	hiMsaayaam	To kill	maaranaa	bhvaadi (pa)	bharbh	bharbhati	bharbhanti	bharbhiShyati	bharbhitaa	bharbhat	bharbhitvaa
377	shumbha	bhaaShane ca|	To speak	bolanaa	bhvaadi (pa)	shumbh	shumbhati	shumbhanti	shumbhiShyati	shumbhitaa	shumbhat	shumbhitvaa
378	yabha	maithune| mithunasya karmaNi bhaave vaa|	To do act of intercourse	saMbhoga kriyaa karanaa	bhvaadi (pa)	yabh	yabhati	yabhanti	yabhiShyati	yabhitaa	yabhat	yabhitvaa
379	jabha	maithune| mithunasya karmaNi bhaave vaa|	To do act of intercourse	saMbhoga kriyaa karanaa	bhvaadi (pa)	jambh	jambhati	jambhanti	jambhiShyati	jambhitaa	jambhat	jambhitvaa
380	camuu	adane	To eat	khaanaa	bhvaadi (pa)	cam	camati	camanti	camiShyati	camitaa	camat	camitvaa
381	chhamuu	adane	To eat	khaanaa	bhvaadi (pa)	chham	chhamati	chhamanti	chhamiShyati	chhamitaa	chhamat	chhamitvaa
382	jamuu	adane	To eat	khaanaa	bhvaadi (pa)	jam	jamati	jamanti	jamiShyati	jamitaa	jamat	jamitvaa
383	jhamuu	adane	To eat	khaanaa	bhvaadi (pa)	jham	jhamati	jhamanti	jhamiShyati	jhamitaa	jhamat	jhamitvaa
384	jimuu	adane	To eat	khaanaa	bhvaadi (pa)	jim	jemati	jemanti	jemiShyati	jemitaa	jemat	jemitvaa
385	kramuu	paadavixepe| paadanyaasa ityarthaH	To walk	calanaa	bhvaadi (pa)	kram	kraamati	kraamanti	kramiShyati	kramitaa	kraamat	kramitvaa
386	yamuuM	uparame| uparamo nivRRittiH	To stop	sthira honaa	bhvaadi (pa)	yam	yacchhati	yacchhanti	yaMsyati	yantaa	yacchhat	yantvaa
387	syamuu	shabde	To sound	shabda karanaa	bhvaadi (pa)	syam	syamati	syamanti	syamiShyati	syamitaa	syamat	syamitvaa
388	NamaM	prahvatve| prahvatvaM kaataratvam	To bend	moDanaa	bhvaadi (pa)	nam	namati	namanti	naMsyati	nantaa	namat	nantvaa
389	Shama	vaiklavye| vaiklavyaM kaataratvam	To be vigourless	kaatara honaa	bhvaadi (pa)	sam	samati	samanti	samiShyati	samitaa	samat	samitvaa
390	ShTama	vaiklavye| vaiklavyaM kaataratvam	To be vigourless	kaatara honaa	bhvaadi (pa)	stam	stamati	stamanti	stamiShyati	stamitaa	stamat	stamitvaa
391	ama	shabdabhaktyoH bhaktirbhajanam	"To sound, to pray"	"shabda karanaa, praarthanaa karanaa"	bhvaadi (pa)	am	amati	amanti	amiShyati	amitaa	amat	amitvaa
392	ama	gatau	To go	jaanaa	bhvaadi (pa)	am	amati	amanti	amiShyati	amitaa	amat	amitvaa
393	drama	gatau	To go	jaanaa	bhvaadi (pa)	dram	dramati	dramanti	dramiShyati	dramitaa	dramat	dramitvaa
394	hamma	gatau	To go	jaanaa	bhvaadi (pa)	hamm	hammati	hammanti	hammiShyati	hammitaa	hammat	hammitvaa
395	miimRRi	gatau	To go	jaanaa	bhvaadi (pa)	miim	miimati	miimanti	miimiShyati	miimitaa	miimat	miimitvaa
396	gamlRRim	gatau	To go	jaanaa	bhvaadi (pa)	gam	gacchhati	gacchhanti	gamiShyati	gantaa	gacchhat	gatvaa
||atha yaantaa aShTau seTashca||												
397	haya	klaantau ca| cakaaradgatau|	"To be weary, to go"	"thakaana honaa, jaanaa"	bhvaadi (pa)	hay	hayati	hayanti	hayiShyati	hayitaa	hayat	hayitvaa
398	harya	klaantau ca| cakaaradgatau|	"To be weary, to go"	"thakaana honaa, jaanaa"	bhvaadi (pa)	hary	haryati	haryanti	haryiShyati	haryitaa	haryat	haryitvaa
399	mavya	bandhane	To bind	baaMdhanaa	bhvaadi (pa)	mavy	mavyati	mavyanti	mavyiShyati	mavyitaa	mavyat	mavyitvaa
400	suurxya	iirShyaarthaa	To envy	iirShyaa karanaa	bhvaadi (pa)	suurxy	suurxyati	suurxyanti	suurxyiShyati	suurxyitaa	suurxyat	suurxyitvaa
401	iirxya	iirShyaarthaa	To envy	iirShyaa karanaa	bhvaadi (pa)	iirxy	iirxyati	iirxyanti	iirxyiShyati	iirxyitaa	iirxyat	iirxyitvaa
402	iirshya	iirShyaarthaa	To envy	iirShyaa karanaa	bhvaadi (pa)	iirShy	iirShyati	iirShyanti	iirShyiShyati	iirShyitaa	iirShyat	iirShyitvaa
403	shucyai	abhiShave| draveNa dravaaNaaM parivaasanamabhiShavaH|	To perfune a fluid by another fluid	eka dravya se anya dravya ko sugandhita karanaa	bhvaadi (pa)	shucy	shucyati	shucyanti	shucyiShyati	shucyitaa	shucyat	shucyitvaa
404	cucyai	abhiShave| draveNa dravaaNaaM parivaasanamabhiShavaH|	To perfune a fluid by another fluid	eka dravya se anya dravya ko sugandhita karanaa	bhvaadi (pa)	cucy	cucyati	cucyanti	cucyiShyati	cucyitaa	cucyat	cucyitvaa
405	tsara	chhadmagatau| chhadmaprakaara ityarthaH	To cheat	chhalakapaTa karanaa	bhvaadi (pa)	tsar	tsarati	tsaranti	tsariShyati	tsaritaa	tsarat	tsaritvaa
406	kmara	huurchhane| huurchhanaM kauTilyam	To be crooked	TeDhaa honaa	bhvaadi (pa)	kmar	kmarati	kmaranti	kmariShyati	kmaritaa	kmarat	kmaritvaa
407	abhra	gatau	To go	jaanaa	bhvaadi (pa)	abhr	abhrati	abhranti	abhriShyati	abhritaa	abhrat	abhritvaa
408	babhra	gatau	To go	jaanaa	bhvaadi (pa)	babhr	babhrati	babhranti	babhriShyati	babhritaa	babhrat	babhritvaa
409	mabhra	gatau	To go	jaanaa	bhvaadi (pa)	mabhr	mabhrati	mabhranti	mabhriShyati	mabhritaa	mabhrat	mabhritvaa
