1.1.001|1.1.001 वृद्धिरादैच्	आ, ऐ and औ are called वृद्धि।<br><br>Terms: वृद्धि
5.4.137|5.4.137 उपमानाच्च	The इ is substituted for the final अ of गन्ध at the end of a बहुव्रीहि समास when preceded by a word denoting a thing with which it is compared.<br><br>Terms: इ
5.4.138|5.4.138 पादस्य लोपोऽहस्त्यादिभ्यः	The final अ of पाद is elided when it is at the end of a बहुव्रीहि समास preceded by a word denoting a thing with which it is compared but not so when such word is हस्ति etc.<br><br>Terms: 
5.4.139|5.4.139 कुम्भपदीषु च	The words कुम्भपदी etc. have been formed by the similar elision of the अ of पाद।<br><br>Terms: 
5.4.140|5.4.140 संख्यासुपूर्वस्य	The final अ of पाद is elided also when a numeral or the word सु precedes it in a बहुव्रीहि समास ।<br><br>Terms: 
5.4.141|5.4.141 वयसि दन्तस्य दतृ	For दन्त is substituted दत् in a बहुव्रीहि समास when a numeral or सु precedes it and the whole word expresses a stage of life i.e. an age.<br><br>Terms: 
5.4.142|5.4.142 छन्दसि च	For दन्त is substituted दत् in the छन्दस् (Vedas) when final in a बहुव्रीहि समास ।<br><br>Terms: छन्दस्
5.4.143|5.4.143 स्त्रियां संज्ञायाम्	For दन्त is substituted दत् when in the feminine gender denoting a name.<br><br>Terms: 
5.4.144|5.4.144 विभाषा श्यावारोकाभ्याम्	Optionally दत् is substituted for दन्त in a बहुव्रीहि समास when it is preceded by the words श्याव and अरोक।<br><br>Terms: दत्
5.4.145|5.4.145 अग्रान्तशुद्धशुभ्रवृषवराहेभ्यश्च	The substitution of दत् for दन्त is optional in a बहुव्रीहि समास when it is preceded by a word ending in 1. अग्र or by 2. शुद्ध 3. शुभ्र and 4. वराह।<br><br>Terms: दत्
5.4.146|5.4.146 ककुदस्यावस्थायां लोपः	The final letter of ककुद is dropped in a बहुव्रीहि समास when it denotes age or condition of animals.<br><br>Terms: 
5.4.147|5.4.147 त्रिककुत् पर्वते	The बहुव्रीहि word त्रिककुद् formed by the elision of the final अ of ककुद is the name of a mountain.<br><br>Terms: 
5.4.148|5.4.148 उद्विभ्यां काकुदस्य	After उत् and वि the final of काकुद is elided in a बहुव्रीहि समास ।<br><br>Terms: 
5.4.149|5.4.149 पूर्णाद्विभाषा	After पूर्ण the final of काकुद is optionally elided in a बहुव्रीहि समास ।<br><br>Terms: 
5.4.150|5.4.150 सुहृद्दुर्हृदौ मित्रामित्रयोः	The words सुहृत् and दुहृत् are irregularly formed बहुव्रीहि समास denoting 'a friend' and 'a foe' respectively.<br><br>Terms: 
5.4.151|5.4.151 उरःप्रभृतिभ्यः कप्‌	The affix कप्‌ comes after उरस् etc. final in a बहुव्रीहि समास ।<br><br>Terms: कप्‌
5.4.152|5.4.152 इनः स्त्रियाम्	The affix कप्‌ is added to a बहुव्रीहि समास the last member of which ends in इन् when a feminine word is denoted<br><br>Terms: कप्‌
5.4.153|5.4.153 नद्यृतश्च	The affix कप्‌ is added to a बहुव्रीहि समास the last member of which is a feminine word ending in long ई or ऊ defined as नदी words or which ends in a short ऋ।<br><br>Terms: कप्‌
5.4.154|5.4.154 शेषाद्विभाषा	After all other बहुव्रीहि समास not covered by the foregoing rules, may optionally be added the affix कप्‌।<br><br>Terms: कप्‌
5.4.155|5.4.155 न संज्ञायाम्	The affix कप्‌ does not come after a बहुव्रीहि समास when a name is meant.<br><br>Terms: कप्‌
5.4.156|5.4.156 ईयसश्च	The affix कप्‌ does not come after a बहुव्रीहि समास the last member of which ends in the affix ईयस्।<br><br>Terms: कप्‌
5.4.157|5.4.157 वन्दिते भ्रातुः	The affix कप्‌ does not come after a बहुव्रीहि समास ending in the word भ्रातृ when it means 'praised'.<br><br>Terms: कप्‌
5.4.158|5.4.158 ऋतश्छन्दसि	The affix कप्‌ does not come after a बहुव्रीहि समास ending in short ऋ in the छन्दस् (Vedas).<br><br>Terms: कप्‌
5.4.159|5.4.159 नाडीतन्त्र्योः स्वाङ्गे	The affix कप्‌ does not come after the words नाडी and तन्त्री final in a बहुव्रीहि समास when they mean organs of the body.<br><br>Terms: कप्‌
5.4.160|5.4.160 निष्प्रवाणिश्च	The word निष्प्रवाणि is irregularly formed without adding the affix कप्‌ though the last word is a नदी word.<br><br>Terms: कप्‌
6.1.001|6.1.001 एकाचो द्वे प्रथमस्य	In the room of the first portion, containing a single vowel, there are two.<br><br>Terms: 
6.1.002|6.1.002 अजादेर्द्वितीयस्य	Of that whose first syllable begins with a vowel, there are two in the room of the second portion containing a single vowel.<br><br>Terms: लिट् लकार
6.1.003|6.1.003 न न्द्राः संयोगादयः	The letters न् , द् , and र् being the first letter of a compound consonant and being part of the second syllable, are not reduplicated.<br><br>Terms: लिट् लकार
6.1.004|6.1.004 पूर्वोऽभ्यासः	The first of the two is called अभ्यास or Reduplicate.<br><br>Terms: लिट् लकार
6.1.005|6.1.005 उभे अभ्यस्तम्	The both are collectively called अभ्यस्त।<br><br>Terms: लिट् लकार
6.1.006|6.1.006 जक्षित्यादयः षट्	So also the six roots beginning with जक्षि are called अभ्यस्त।<br><br>Terms: लिट् लकार
6.1.007|6.1.007 तुजादीनां दीर्घोऽभ्यासस्य	In the room of a short vowel of the Reduplicate of the the roots तुज् etc., a long is susbtituted.<br><br>Terms: लिट् लकार
6.1.008|6.1.008 लिटि धातोरनभ्यासस्य	When the tense-affixes of the Perfect follow, there is reduplication of the root, which is not already reduplicated.<br><br>Terms: लिट् लकार
6.1.009|6.1.009 सन्यङोः	Of a non-reduplicate root ending in सन् (Desiderative) or यङ् (Intensive) affixes, there is reduplication.<br><br>Terms: लिट् लकार
6.1.010|6.1.010 श्लौ	Of a non-reduplicate root there is reduplication when the विकरण श्लु follows.<br><br>Terms: लिट् लकार
6.1.011|6.1.011 चङि	Of a non-reduplicate root there is reduplication when the affix चङ् of the Aorist follows.<br><br>Terms: लिट् लकार
6.1.012|6.1.012 दाश्वान् साह्वान् मीढ्वांश्च	The participles दाश्वाम् , साह्वान् , and मीढ्वान् are irregularly formed without reduplication.<br><br>Terms: लिट् लकार
6.1.013|6.1.013 ष्यङः सम्प्रसारणं पुत्रपत्योस्तत्पुरुषे	There is vocalisation of the semi-vowel य् of the affix ष्यङ् 4.1.78 when followed in a तत्-पुरुष compound, by the words पुत्र and पति।<br><br>Terms: लिट् लकार
6.1.014|6.1.014 बन्धुनि बहुव्रीहौ	There is vocalisation of the affix ष्यङ् 4.1.78 when the word बन्धु follows in a बहुव्रीही compound.<br><br>Terms: लकार-तत्-पुरुष
6.1.015|6.1.015 वचिस्वपियजादीनां किति	The semi-vowels of the roots वच् , स्वप् , and यजादि verbs are vocalised when followed by an affix having an indicatory क।<br><br>Terms: लकार-बहुव्रीही
6.1.016|6.1.016 ग्रहिज्यावयिव्यधिवष्टिविचतिवृश्चतिपृच्छतिभृज्जतीनां ङिति च	There is vocalisation of the semi-vowels of the following verbs, when an affix having an indicatory क् or ङ् follows - ग्रह 'to take', ज्या 'to become old', वेञ् 'to weave', व्यध 'to strike', वश 'to shine', व्यच 'to deceive', व्रश्च 'to cut', प्रच्छ 'to ask' and भ्रस्ज 'to cook, to fry'.<br><br>Terms: लकार-धातु
6.1.017|6.1.017 लिट्यभ्यासस्योभयेषाम्	There takes place a vocalisation of the semi-vowels of the reduplicate (अभ्यास) of both वाच्यादि 6.1.15 and ग्रहादि 6.1.16 words, when affixes of लिट् follow.<br><br>Terms: लिट् लकार
6.1.018|6.1.018 स्वापेश्चङि	Of the causative verb स्वपि 'to casuse one to sleep', there is vocalisation of the semi-vowel, when the affix चङ् of the Reduplicated Aorist follows.<br><br>Terms: लिट् लकार
6.1.019|6.1.019 स्वपिस्यमिव्येञां यङि	There is vocalisation of the semi-vowel, of the verbs स्वप् 'to sleep', स्यम् 'to shout' and व्ये 'to cover', when followed by the affix यङ् of the Intensive.<br><br>Terms: लिट् लकार
6.1.020|6.1.020 न वशः	There is not vocalisation of the semi-vowel of वश्, when the affix यङ् follows.<br><br>Terms: 
6.1.021|6.1.021 चायः की	The verb की is substituted for the verb चायृ 'to worship, to observe', when the Intensive affix यङ् follows.<br><br>Terms: 
6.1.022|6.1.022 स्फायः स्फी निष्ठायाम्	The स्फी is the substitute of स्फाय 'to swell', the निष्ठा affixes follow.<br><br>Terms: 
6.1.023|6.1.023 स्त्यः प्रपूर्वस्य	The verb स्त्या (स्त्यै and ष्ठ्यै) when preceded by प्र changes its semi-vowel to a vowel, when a निष्ठ affix follows.<br><br>Terms: 
6.1.024|6.1.024 द्रवमूर्तिस्पर्शयोः श्यः	There is vocalisation of the semi-vowel of the root श्या (श्यै) 'to go' when the निष्ठा affix follows, when the sense is 'coagulation' or 'cold to touch'.<br><br>Terms: 
6.1.025|6.1.025 प्रतेश्च	There is vocalisation of श्या preceded by the उपसर्ग प्रति , when the निष्ठा affixes follow.<br><br>Terms: 
6.1.026|6.1.026 विभाषाऽभ्यवपूर्वस्य	There is optionally the vocalisation of the श्या followed by निष्ठा affixes, when the उपसर्गs अभि and अव precede it.<br><br>Terms: 
6.1.027|6.1.027 शृतं पाके	Optionally शृत is formed in the sense of 'cooked', by the vocalisation of the semi-vowel of आ before the निष्ठा affix क्त।<br><br>Terms: 
6.1.028|6.1.028 प्यायः पी	पी is optionally the substitute of the root प्याय् 'to increase' before the निष्ठा affixes.<br><br>Terms: 
6.1.029|6.1.029 लिड्यङोश्च	There is substitution of पी for प्याय् when the affixes of the Perfect (लिट्) and the Intensive (यङ्) follow.<br><br>Terms: 
6.1.030|6.1.030 विभाषा श्वेः	There is optionally the vocalisation of the semi-vowel श्वि before the affixes of the Perfect and the Intensive.<br><br>Terms: 
6.1.031|6.1.031 णौ च संश्चङोः	There is optionally the vocalisation of the semi-vowel, in the causative of श्वि , when followed by the Desiderative सन् and the Aorist चङ् affix.<br><br>Terms: 
6.1.032|6.1.032 ह्वः सम्प्रसारणम्	There is the vocalisation of the semi-vowel of the causative of ह्वे before the Desiderative and the Reduplicated Aorist affixes.<br><br>Terms: लिट् लकार
6.1.033|6.1.033 अभ्यस्तस्य च	There is vocalisation of the semi-vowel of ह्वा in the reduplicated form, in both the syllables.<br><br>Terms: लिट् लकार
6.1.034|6.1.034 बहुलं छन्दसि	In the छन्दस् , the semi-vowel of this root is diversely vocalised.<br><br>Terms: लिट् लकार
6.1.035|6.1.035 चायः की	For चाय् is diversely substituted की in the छन्दस्।<br><br>Terms: लिट् लकार-छन्दस्
6.1.036|6.1.036 अपस्पृधेथामानृचुरानृहुश्चिच्युषेतित्याजश्राताःश्रितमाशीराशीर्त्तः	In the छन्दस् the following irregular forms are met with - अस्पृधेथाम् , आनृचुः , आनृहुः , चिच्युषे , तित्याज , श्राताः , श्रितम् , आशीः , आशीर्त्तः।<br><br>Terms: लिट् लकार-छन्दस्
6.1.037|6.1.037 न सम्प्रसारणे सम्प्रसारणम्	When a semi-vowel base has been vocalised, there is no vocalisation of the other semi-vowel that may precede it in the same word.<br><br>Terms: 
6.1.038|6.1.038 लिटि वयो यः	In the substituted root वय 2.4.41, the य in the Perfect is not vocalised.<br><br>Terms: सम्प्रसारणम्
6.1.039|6.1.039 वश्चास्यान्यतरस्याम् किति	Before the tense-affixes of the Perfect that have an indicatory क 1.2.5, for the य् of वय् may optionally be substituted a व्।<br><br>Terms: सम्प्रसारणम्
6.1.040|6.1.040 वेञः	The semi-vowel of वे 'to weave' is not vocalised in the Perfect.<br><br>Terms: सम्प्रसारणम्
6.1.041|6.1.041 ल्यपि च	The semi-vowel of वे 'to weave' is not vocalised in the Participial affix ल्यप् follows.<br><br>Terms: सम्प्रसारणम्
6.1.042|6.1.042 ज्यश्च	The semi-vowel of ज्या 'to grow old' is not vocalised when the affix ल्यप् follows.<br><br>Terms: सम्प्रसारणम्
6.1.043|6.1.043 व्यश्च	The semi-vowel of व्या (व्ये) 'to cover' is not vocalised when the affix ल्यप् follows.<br><br>Terms: सम्प्रसारणम्
6.1.044|6.1.044 विभाषा परेः	The vocalisation may optionally take place when व्ये preceded by परि takes the affix ल्यप्।<br><br>Terms: सम्प्रसारणम्
6.1.045|6.1.045 आदेच उपदेशेऽशिति	In a root, which is the system of grammatical instruction (i.e. the धातुपाठ), ends with a dipthong (ए , ऐ , ओ, औ), there is the substitution of आ for the dipthong, provided that no affix with an indicatory श् follows it.<br><br>Terms: सम्प्रसारणम्
6.1.046|6.1.046 न व्यो लिटि	There is not the substitution of आ for the dipthong of the root व्ये when the affixes of the Perfect follow.<br><br>Terms: धातु
6.1.047|6.1.047 स्फुरतिस्फुलत्योर्घञि	In the roots स्फुर् and स्फुल् 'to move', there is the substitution of the आ for the dipthong when the affix घञ् follows.<br><br>Terms: धातु-व्ये
6.1.048|6.1.048 क्रीङ्जीनां णौ	The substitution of आ for the dipthong takes place in the causatives of the roots क्री 'to buy, to purchase', इ 'to study' and जि 'to conquer'.<br><br>Terms: धातु-स्फुर्-स्फुल्
6.1.049|6.1.049 सिध्यतेरपारलौकिके	The substitution of आ takes for the dipthong in the causative of सिध् , when it does not refer to the next life.<br><br>Terms: धातु-क्री-इ-जि
6.1.050|6.1.050 मीनातिमिनोतिदीङां ल्यपि च	And there is substitution of आ for the finals of मी 'to hurt', मि 'to scatter' and दी 'to decay' when the affix ल्यप् follows, as well as before those affixes which demand this substitution for the dipthong.<br><br>Terms: धातु-सिध्
6.1.051|6.1.051 विभाषा लीयतेः	There is optionally the susbtitution of आ for the final of ली 'to adhere', in the धातुपाठ , when the affix ल्यप् follows or such an affix as would demand this substitution of the dipthong.<br><br>Terms: धातु-मी-मि-दी
6.1.052|6.1.052 खिदेश्छन्दसि	There is optionally the substitution of आ in the room of the dipthong of the verb खिद् 'to suffer pain', in the छन्दस्।<br><br>Terms: धातु-प्रत्यय-ल्यप्
6.1.053|6.1.053 अपगुरो णमुलि	There is optionally the substitution of आ in the room of the dipthong of the root गुर् 'to exert' when preceded by the preposition अप and taking the affix णमुल्।<br><br>Terms: धातु-खिद्-छन्दस्
6.1.054|6.1.054 चिस्फुरोर्णौ	There is optionally the substitution of आ in the room of the dipthong of the roots चि and स्फुर् when in the Causative.<br><br>Terms: धातु-गुर्-प्रत्यय-णमुल्
6.1.055|6.1.055 प्रजने वीयतेः	There is optionally the substitution of आ in the room of the dipthong of the root वी in the causative, when meaning 'to conceive an embryo'.<br><br>Terms: धातु-चि-स्फुर्
6.1.056|6.1.056 बिभेतेर्हेतुभये	There is optionally the substitution of आ in the room of the dipthong of the root भी 'to fear' in the causative, when the fear is produced directly through the agent of the causative.<br><br>Terms: धातु-वी
6.1.057|6.1.057 नित्यं स्मयतेः	There is invariably the substitution of आ for the dipthong of the root स्मि 'to smile' in the causative, when the astonishment is produced directly through the agent of the causative.<br><br>Terms: धातु-भी
6.1.058|6.1.058 सृजिदृशोर्झल्यमकिति	The augment अम् (अ) comes after the ऋ or सृज् 'to create' and दृश् 'to see', when an affix beginning with a झल् letter (the Mute and the Sibilant) follows: provided that it has no indicatory क।<br><br>Terms: धातु-स्मि
6.1.059|6.1.059 अनुदात्तस्य चर्दुपधस्यान्यतरस्याम्	The augment अम् (अ) augment comes optionally after the ऋ of those roots which are exhibited in the धातुपाठ as अनुदात्त , when such roots end in a consonant having a ऋ has penultimate and are followed by an affix beginning with a mute or sibilant and not having an indicatory क।<br><br>Terms: 
6.1.060|6.1.060 शीर्षंश्छन्दसि	The word शीर्षन् 'head', is found in छन्दस्।<br><br>Terms: 
6.1.061|6.1.061 ये च तद्धिते	There is the substitution of this stem शीर्षन् for शिरस् when a तद्धित-affix beginning with य follows.<br><br>Terms: 
6.1.062|6.1.062 अचि शीर्षः	There is the substitution of शीर्ष for शीरस् when a तद्धित-affix beginning with a vowel follows.<br><br>Terms: तद्धित
6.1.063|6.1.063 पद्दन्नोमास्हृन्निशसन्यूषन्दोषन्यकञ्छकन्नुदन्नासञ्छस्प्रभृतिषु	In the weak cases (beginning with the accusative plural) the following stems are substituted: पद for पाद , दत् for दन्त , नस् for नासिका , मास् for मास , हृद् for हृदय , निश for निशा , असन् for असृज् , यूषन् for यूष , दोषन् for दास् , यकन् for यकृत् , शकन् for शकृत् , उदन् for उदक and आसन् for आस्य।<br><br>Terms: 
6.1.064|6.1.064 धात्वादेः षः सः	There is the substitution of स in the room of the ष् being the initial of a verbal root as enunciated in the धातुपाठ।<br><br>Terms: 
6.1.065|6.1.065 णो नः	There is the substitution of न् for the initial ण् of the root in the धातुपाठ।<br><br>Terms: धातुपाठ
6.1.066|6.1.066 लोपो व्योर्वलि	There is लोप-substitution (elision) of the व् and य् when followed by any consonant except य्।<br><br>Terms: धातुपाठ
6.1.067|6.1.067 वेरपृक्तस्य	There is the elision of the affix वि when reduced to the single letter व्।<br><br>Terms: धातुपाठ
6.1.068|6.1.068 हल्ङ्याब्भ्यो दीर्घात्‌ सुतिस्यपृक्तं हल्	After a consonant there is the elision of the nominative affix स् and the tense-affix ति and सि (when reduced to the form of त् and स् ) being consonants; and so also after the long vowels ई and आ of the feminine (affix ङी and आप् ), there is the elision of the nominative affix स्।<br><br>Terms: 
6.1.069|6.1.069 एङ्ह्रस्वात्‌ सम्बुद्धेः	The consonant of the nominative-affix (सु and its substitute अम् ) is elided in the Vocative singular after a nominal-stem ending in ए or ओ or a short vowel.<br><br>Terms: विभक्ति-F-तिङ्
6.1.070|6.1.070 शेश्छन्दसि बहुलम्	In the छन्दस् , the elision of the case-ending इ (शि) of the nominative and accusative plural neuter, is optional.<br><br>Terms: विभक्ति-8
6.1.071|6.1.071 ह्रस्वस्य पिति कृति तुक्	To a root ending in a short vowel is added the augment त् (तुक्) when a कृत्-affix having an indicatory ए follows.<br><br>Terms: विभक्ति-छन्दस्
6.1.072|6.1.072 संहितायाम्	In the following sutras up to 6.1.157 inclusive, the words संहितायाम् 'in an unbroken flow of speech', should be supplied.<br><br>Terms: धातु-कृत्
6.1.073|6.1.073 छे च	The augment त् is added to a preceding short vowel also when छ follows an in an uninterrupted speech.<br><br>Terms: संहितायाम्
6.1.074|6.1.074 आङ्माङोश्च	The augment त् is added to the parcticle आ and the prohibitive particle मा , when छ follows an in a continous text.<br><br>Terms: संहितायाम्
6.1.075|6.1.075 दीर्घात्‌	The augment त् is added to a long vowel, when followed by छ in a continous text.<br><br>Terms: संहितायाम्
6.1.076|6.1.076 पदान्ताद्वा	The augment त् is added optionally to a long vowel final in a full word (पद) when followed by छ।<br><br>Terms: संहितायाम्
6.1.077|6.1.077 इको यणचि	The semi-vowels य् व् र् ल् are the substitutes of the corresponding vowels इ उ ऋ and ऌ (long and short), when followed by a vowel.<br><br>Terms: संहितायाम्
6.1.078|6.1.078 एचोऽयवायावः	For the vowels ए ऐ ओ and औ are respectively substituted अय् आय् अव् and आव् when a vowel follows.<br><br>Terms: संहितायाम्
6.1.079|6.1.079 वान्तो यि प्रत्यये	The substitution of अव् and आव् for ओ and औ also takes place before an affix beginning with य।<br><br>Terms: संहितायाम्
6.1.080|6.1.080 धातोस्तन्निमित्तस्यैव	For the final dipthongs ओ and औ of a root, are substituted अव् and आव् respectively, before an affix beginning with य् , then only when such dipthong has been itself first evolved by that affix.<br><br>Terms: संहितायाम्
6.1.081|6.1.081 क्षय्यजय्यौ शक्यार्थे	In क्षय्य and जय्य there is substitution of अय् for ए only then when the sense is that of 'to be possible to do'.<br><br>Terms: संहितायाम्
6.1.082|6.1.082 क्रय्यस्तदर्थे	In the क्रय्य there is substitution of अय् for ए when the sense is that of 'exposed or put out for sale, saleable'.<br><br>Terms: संहितायाम्
6.1.083|6.1.083 भय्यप्रवय्ये च च्छन्दसि	The forms भय्य and प्रवय्य are found in the छन्दस<br><br>Terms: संहितायाम्
6.1.084|6.1.084 एकः पूर्वपरयोः	From here up to 6.1.111 inclusive is always to be supplied the phrase 'for the preceding and the following is substituted'.<br><br>Terms: संहितायाम्
6.1.085|6.1.085 अन्तादिवच्च	And this single susbtitute is considered as the final of the preceding (form) and the initial of the succeeding (form).<br><br>Terms: संहितायाम्
6.1.086|6.1.086 षत्वतुकोरसिद्धः	The substitution of the final आदेश is to be considered as to have not taken effect, when otherwise स would have changed to ष , or when the augment त् (तुक्) is to be added.<br><br>Terms: संहितायाम्
6.1.087|6.1.087 आद्गुणः	The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।<br><br>Terms: संहितायाम्
6.1.088|6.1.088 वृद्धिरेचि	The वृद्धि is the single substitute of अ or आ of a preceding word and the initial dipthong of the succeeding (अ or आ + dipthong = वृद्धि)।<br><br>Terms: संहितायाम्
6.1.089|6.1.089 एत्येधत्यूठ्सु	The वृद्धि is the single substitute of अ or आ + ए of एति (root इ) and एधति (root एध), and for अ or आ + ऊ of उठ (the substitute of वा in वाह by 6.4.132).<br><br>Terms: संहितायाम्
6.1.090|6.1.090 आटश्च	The वृद्धि is the single substitute when the augment आट् is followed by any vowel.<br><br>Terms: संहितायाम्
6.1.091|6.1.091 उपसर्गादृति धातौ	The वृद्धि is the single substitute when the अ or आ of a preposition (उपसर्ग) is followed by the short ऋ of a verb.<br><br>Terms: संहितायाम्
6.1.092|6.1.092 वा सुप्यापिशलेः	According to the opinion of आपिशलि, the वृद्धि is optionally the single substitute, when the अ or आ of a preposition is followed by a Demoninative Verb beginning with ऋ।<br><br>Terms: संहितायाम्
6.1.093|6.1.093 औतोऽम्शसोः	For the ओ of a nominal stem + अ of the Accusative case-ending अम् and अस् the single substitute is आ।<br><br>Terms: संहितायाम्
6.1.094|6.1.094 एङि पररूपम्	For the अ or आ of the Preposition + ए or ओ of a verbal root, the second vowel is the single substitute.<br><br>Terms: संहितायाम्
6.1.095|6.1.095 ओमाङोश्च	For the अ or आ of ओम् or + the vowel of the Preposition आङ् , the second vowel is the single substitute.<br><br>Terms: संहितायाम्
6.1.096|6.1.096 उस्यपदान्तात्‌	For the अ or आ (not standing at the end of a पद or full word) + उ of उस the Tense-affix, the second vowel is the single substitute.<br><br>Terms: संहितायाम्
6.1.097|6.1.097 अतो गुणे	Also when the short अ , not being final in a पद , is followed by a गुण letter, then in the room of both the precedent and the subsequent - the single substitute is the form of the subsequent i.e. the गुण।<br><br>Terms: संहितायाम्
6.1.098|6.1.098 अव्यक्तानुकरणस्यात इतौ	The इ of इति is the single substitute for the अत् (of a word denoting imitation of an inarticulate sound) + इति।<br><br>Terms: संहितायाम्
6.1.099|6.1.099 नाम्रेडितस्यान्त्यस्य तु वा	This substitution does not take place when a sound-imitation word is doubled, here, however, for the final त् + इ , the single substitute is optionally इ (the second vowel).<br><br>Terms: संहितायाम्
6.1.100|6.1.100 नित्यमाम्रेडिते डाचि	Of such a doubled sound-imitation word, to which the affix आ is added which causes elision of the final अत् , for the final त् of the first member and the initial consonant of the second member, such subsequent consonant is always the single substitute.<br><br>Terms: संहितायाम्
6.1.101|6.1.101 अकः सवर्णे दीर्घः	When a single vowel is followed by a homogenous vowel, the corresponding long vowel is the single substitute for both the precedent and the subsequent vowels.<br><br>Terms: संहितायाम्
6.1.102|6.1.102 प्रथमयोः पूर्वसवर्णः	For the simple vowel of a nominal-stem and for the vowel of the case-affixes of the Nominative and the Accusative in all numbers, there is the single substitution of a long vowel corresponding to the first vowel.<br><br>Terms: संहितायाम्
6.1.103|6.1.103 तस्माच्छसो नः पुंसि	After such a long vowel homogenous with the first, न् is substituted for the स् of the Acccusative case affix शस् in the masculine.<br><br>Terms: संहितायाम्
6.1.104|6.1.104 नादिचि	The substitution of a long vowel homogenous with the first, does not take place when अ or आ is followed by a vowel (other than अ) of the case-affixes of the Nominative and the Accusative.<br><br>Terms: संहितायाम्
6.1.105|6.1.105 दीर्घाज्जसि च	The substitution of a long vowel homogenous with the first, does not take place whena long vowel is followed by a nominative or accusative case-affix beginning with a vowel (other than अ) or by the Nominative Plural affix अस्।<br><br>Terms: संहितायाम्
6.1.106|6.1.106 वा छन्दसि	In the Vedas, the long vowel may optionally be the single substitute of both vowels in these cases last mentioned.<br><br>Terms: संहितायाम्
6.1.107|6.1.107 अमि पूर्वः	There is the single substitution of the first vowel, when a simple vowel is followed by the अ of the case ending अम्।<br><br>Terms: संहितायाम्
6.1.108|6.1.108 सम्प्रसारणाच्च	There is the single substitution of the first vowel for the vocalised semi-vowel and the subequent vowel.<br><br>Terms: संहितायाम्
6.1.109|6.1.109 एङः पदान्तादति	In the room of ए or ओ final in a पद , and the short अ , which follows it, is substituted the single vowel of the form of the first (ए or ओ)।<br><br>Terms: संहितायाम्
6.1.110|6.1.110 ङसिङसोश्च	In the room of ए or ओ (in the body of a word), + अ of the case-affix अस् of the Ablative and Genitive Singular, the single substitute is the form of the precedent.<br><br>Terms: संहितायाम्
6.1.111|6.1.111 ऋत उत्‌	In the room of ऋ + अ of the case-affix अस् of the Ablative and Genitive singular, the single substitute is the letter short उ।<br><br>Terms: संहितायाम्
6.1.112|6.1.112 ख्यत्यात्‌ परस्य	There is the substitution of उ for the अ of अस् of the Ablative and Genitive Singular after सखि and पति , when for the इ of those two stems य् is substituted.<br><br>Terms: संहितायाम्
6.1.113|6.1.113 अतो रोरप्लुतादप्लुते	The उ is the substitute of रु (the र् substitute of a final स् 8.2.66) when an अ , which is not a प्लुत, both precedes and follows it.<br><br>Terms: संहितायाम्
6.1.114|6.1.114 हशि च	The उ is the substitute of रु (the र् substitute of a final स् 8.2.66) when it is followed by a soft consonant and preceded by an अप्लुत short अ।<br><br>Terms: संहितायाम्
6.1.115|6.1.115 प्रकृत्याऽन्तःपादमव्यपरे	The final ए or ओ and the following अ when occuring in the middle half of a foot of a Vedic verse, retain their original forms, except when the अ is followed by ख् or य्।<br><br>Terms: संहितायाम्
6.1.116|6.1.116 अव्यादवद्यादवक्रमुरव्रतायमवन्त्ववस्युषु च	The ए or ओ retain their original form in the middle of a Vedic verse, when the following words come after them (though the अ in these has a व् and य् following it) - अव्यात् , अवद्यात् , अवक्रमुः , अव्रत , अवन्तु , अवस्यु।<br><br>Terms: संहितायाम्
6.1.117|6.1.117 यजुष्युरः	In the यजुर्वेद , the word उरस् when changed to उरो , retains it original form when followed by a short अ which is also retained.<br><br>Terms: संहितायाम्
6.1.118|6.1.118 आपोजुषाणोवृष्णोवर्षिष्ठेऽम्बेऽम्बालेऽम्बिकेपूर्वे	In the यजुर्वेद , the short अ is retained after आपो , जुषनो , वृष्णो , वर्षिष्ठे and also in and after अम्बे or अम्बाले when they stand before अम्बिके।<br><br>Terms: संहितायाम्
6.1.119|6.1.119 अङ्ग इत्यादौ च	In the यजुर्वेद , when the word अङ्गे is followed by अङ्गे , the subsequent short अ is retained, as well as the preceding ए or ओ।<br><br>Terms: संहितायाम्
6.1.120|6.1.120 अनुदात्ते च कुधपरे	In the यजुर्वेद , when an अनुदात्त अ is followed by a Guttural or a ध, the antecedent ए or ओ retains it s form, as well as this subsequent अ।<br><br>Terms: संहितायाम्
6.1.121|6.1.121 अवपथासि च	In the यजुर्वेद , when the gravely accented अ of अवपथास् follows ए or ओ , the vowels retain their original form.<br><br>Terms: संहितायाम्
6.1.122|6.1.122 सर्वत्र विभाषा गोः	After गो the subsequent अ may optionally be retained everywhere, in the Vedas as well as in the secular literature.<br><br>Terms: संहितायाम्
6.1.123|6.1.123 अवङ् स्फोटायनस्य	According to the opinion of स्फोटायन , there is the substitution of अवङ् for the ओ of गो when it is followed by any vowel.<br><br>Terms: संहितायाम्
6.1.124|6.1.124 इन्द्रे च (नित्यम्)	The substitution of अव for the ओ of गो is compulsory when a vowel to be found in the word इन्द्र follows it.<br><br>Terms: संहितायाम्
6.1.125|6.1.125 प्लुतप्रगृह्या अचि नित्यम्	The प्लुत (8.2.82 etc.) and प्रगृह्य (1.1.11 etc.) vowels remain unaltered when followed by a vowel (so far as the operation of that vowel is concerned).<br><br>Terms: संहितायाम्
