धातुः	सङ्ख्या	अर्थः	गणादिः	सेट्त्वम्	सकर्मकता	पदप्रकारः	धातुसादृश्यम्	क्त्वान्ताः	तुम्	शिष्टोक्तिः
श्रै	१७८०	श्रै पाके	१-भ्वादिः-९१९। सक। अनि। पर।	अनि	सक	पर	२६३			‘… श्राति श्रायति लुक्शपोः।।’ (श्लो। ९) इति देवः। सर्वाण्यपि रूपाणि भौवादिककायतिवत् (२६३) बोध्यानि।
श्रोणृ	१७८१	श्रोणृ संघाते	१-भ्वादिः-४५६। अक। सेट्। पर।	से	अक	पर	१०६३			भौवादिकपैणतिवत् (१०६३) सर्वाण्यपि रूपाण्यूह्यानि।
श्लकि	१७८२	श्लकि गत्यर्थः	१-भ्वादिः-८५। सक। सेट्। आत्म।	से	सक	आत्म	१४०			भौवादिककङ्कतिवत् (१४०) सर्वाणि रूपाणि ज्ञेयानि।
श्लगि	१७८३	श्लगि गत्यर्थः	१-भ्वादिः-१५२। सक। सेट्। पर।	से	सक	पर	१६३			सर्वाण्यपि रूपाणि भौवादिककन्दतिवत् (१६३) बोध्यानि।
श्लाखृ	१७८४	श्लाखृ व्याप्तौ	१-भ्वादिः-१२७। अक। सेट्। पर।	से	अक	पर	८७९			प्रश्लाखितः। इतराणि समस्तान्यपि रूपाणि भौवादिकद्राखतिवत् (८७९) बोध्यानि।
श्लाघृ	१७८५	श्लाघृ कत्थने	१-भ्वादिः-११५। अक। सेट्। आत्म।	से	अक	आत्म	८७९			‘कत्थनम् = उत्कर्षाख्यानम्’ इति स्वामी। शानचि  श्लाघमानः। ‘श्लाघमानः परस्त्रीभ्यस्तत्रागाद् राक्षसेश्वरः’ (भट्टिः ८-७३)। इतराणि समस्तान्यपि रूपाणि भौवादिकद्राखतिवत् (८७९) बोध्यानि।
श्लिष	१७८६	श्लिष आलिङ्गने	४-दिवादिः-११८६। सक। अनि। पर।	अनि	सक	पर	७५८			‘श्लिष्यत्यालिङ्गने, दाहे श्लेषति श्लेषते, णिचि।। श्लेषयेत्--’ (श्लो। १७५-६) इति देवः। आश्लेषः--नक्षत्रविशेषः, आलिङ्गनं च। संज्ञायां, करणे वा घञ् अत्र। आश्लेषी--णिनिः।  श्लेषः--अलंकारविशेषः। आश्लिष्टः कन्यां देवदत्तः;  ‘गत्यर्थाकर्मक--’ (३-४-७२) इत्यादिना कर्तरि क्तः। श्लेष्मा--औणादिकः (द। उ। ६-७३) मनिन्प्रत्ययः। रोगविशेषस्य, तज्जनक- शारीरकपदार्थविशेषस्य च नाम। इतराणि सर्वाण्यपि रूपाणि दैवादिक- तुष्यतिवत् (७५८) बोध्यानि।
श्लिष	१७८७	श्लिष श्लेषणे	१०-चुरादिः-१५७४। सक। सेट्। उभ।	से	सक	उभ	१९४			सर्वाण्यपि रूपाणि चौरादिककीटयतिवत् (१९४) बोध्यानि।
श्लिषु	१७८८	श्लिषु दाहे	१-भ्वादिः-७०२। सक। सेट्। पर।	से	सक	पर	१०२६			‘श्लिष्यत्यालिङ्गने दाहे श्लेषति श्लेषणे णिचि।।’ (श्लो। १७५) इति देवः। श्लेषकः-षिका, शिश्लेषिंषकः-शिश्लिषिषकः-षिका, शेश्लिषकः-षिका;  इत्यादीनि रूपाणि सर्वाण्यपि भौवादिकपोषतिवत् (१०२६) ऊह्यानि।
श्लोकृ	१७८९	श्लोकृ सङ्घाते	१-भ्वादिः-७७। सक। सेट्। पर।	से	सक	पर				‘संघातः = ग्रन्थः’ इति सायणः। ‘--संघाते वर्जने सर्जने’ इति वोपदेवः। ‘-- संघाते--संहनने, संहन्यमाने च’ इति क्षीरस्वामी। ‘संघातो--ग्रन्थः। स चेह ग्रथ्यमानव्यापार इति स्वाम्यादयः। काश्यपादयस्तु ग्रन्थितृव्यापारः इति ग्रथ्नातिवत् सकर्मकः इति’ धातुवृत्तावुक्तम्। सर्वाण्यपि रूपाणि केपतिवत् (२६१) ज्ञेयानि। ‘स चेह ग्रथ्यमानस्य व्यापारो ग्रन्थितुर्वा। आद्येऽकर्मको द्वितीये सकर्मकः’ इति सिद्धान्तकौमुदी।
शोणृ	१७९०	शोणृ संघाते	१-भ्वादिः-४५७। सक। सेट्। पर।	से	सक	पर	२९१			तालव्योष्मादिरयम्। सर्वाण्यपि रूपाणि भौवादिकक्लेवतिवत् (२९१) ज्ञेयानि।
श्वकि	१७९१	श्वकि गत्यर्थः	१-भ्वादिः-९६। सक। सेट्। आत्म।	से	सक	आत्म	१४०			‘श्वगि--’ इति मैत्रेयः।  श्वङ्ककः-ङ्किका, श्वङ्ककः-ङ्किका, शिश्वङ्किषकः-षिका, शाश्वङ्ककः-ङ्किका;  इत्यादीनि रूपाणि सर्वाण्यपि कङ्कतिवत् (१४०) ऊह्यानि। ल्युटि-  श्वङ्कनम्।
श्वच	१७९२	श्वच गतौ	१-भ्वादिः-१६६। सक। सेट्। आत्म।	से	सक	आत्म	१४४			श्वाचकः-चिका, श्वाचकः-चिका, शिश्वचिषकः-षिका, शाश्वचकः-चिका;  इत्यादिकानि रूपाणि सर्वाण्यपि भौवादिककचतिवत् (१४४) ज्ञेयानि।
श्वचि	१७९३	श्वचि गतौ	१-भ्वादिः-१६७। सक। सेट्। आत्म।	से	सक	आत्म	१४५			सर्वाण्यपि रूपाणि कञ्चतिवत् (१४५) ऊह्यानि। कर्तरि क्तप्रत्यये-  श्वञ्चितः।
श्वठ	१७९४	श्वठ असंस्कारगत्योः	१०-चुरादिः-१५६५। सक। सेट्। उभ।	से	सक	उभ	२८२			‘गत्यसंस्कारधात्वर्थे शाठयेत् श्वाठयेदिति।।’ (श्लो। ८१) इति देवः। “इदित्  इति दुर्गः। मैत्रेयोऽपि ‘श्वठीत्येके’” इति माधवः। ‘-- संस्कारगत्योः’ इति मैत्रेयकाशकृत्स्नकातन्त्रशाकटायनादयः। ‘-- गतिसंस्कारयोः’ इति जैनः। ‘-- गत्यसंस्कृतसंस्कृते’ इति वोपदेवः। ‘-- संस्कारे च द्रुमे’ इति धा। का। व्या। (३-१६)। श्वाठकः-ठिका, शिश्वाठ- यिषकः-षिका;  इत्यादिकानि रूपाणि सर्वाण्यपि क्लापयतिवत् (२८२) ज्ञेयानि।
श्वठ	१७९५	श्वठ सम्यगवभाषणे	१०-चुरादिः-१८५६। सक सेट्। उभ।	से	सक	उभ	२८२			अदन्तः। ‘शठयेत् श्वठयेदेते द्वे सम्यगवभाषणे।’ (श्लो। ८१) इति देवः। “‘-- सम्यगाभाषणे’ इति दुर्गः। ‘सम्यग्भाषणे’ इति शाकटायनः। सम्यगाभाषणे सम्यक् वचनक्रियायामिति क्षीरस्वामी” इति पुरुषकारः। प्रकृत- क्षीरतरङ्गिण्यां तु ‘असम्यगाभाषणे’ इत्येव दृश्यते। श्वठकः-ठिका, शिश्वठयिषकः-षिका, श्वठयिता-त्री, शिश्वठयिषिता-त्री;  इत्यादीनि रूपाणि सर्वाण्यपि चौरादिकक्लापयतिवत् (२८२) ज्ञेयानि। ण्यन्ते तत्प्रकृतिकसन्नन्ते च सर्वत्र न उपधावृद्धिः;  अदन्तपाठसामर्थ्यात्।
श्वठि	१७९६	श्वठि असंस्कारगत्योः	१०-चुरादिः-१५६५। सक। सेट्। उभ।	से	सक	उभ	१५०			‘श्वठ इत्यस्य पाठान्तरमिदम्’ इति सि। कौमुदी। दौर्गसम्मतः पाठः इति सायणस्वामिनौ। ‘संस्कारगत्योः’ इति मैत्रेयशाकटायनहेमचन्द्रादयः। श्वण्ठकः-ण्ठिका, शिश्वण्ठयिषकः-षिका;  इत्यादीनि सर्वाण्यपि रूपाणि चौरादिक- कण्ठयतिवत् (१५०) ज्ञेयानि।
श्वभ्र	१७९७	श्वभ्र गतौ	१०-चुरादिः-१६२४। सक। सेट्। उभ।	से	सक	उभ	१७०			‘-- गतौ च;  चकारात् कृच्छ्रजीवने इति दौर्गाः’ इति स्वामी। ‘-- बिले गतौ तङ्के’ इति वोपदेवः। ‘श्वभ्रिः बिलार्थे च द्रुमे’ इति धा। का। व्याख्या (३-२४)। श्वभ्रकः-भ्रिका, शिश्वभ्रयिषकः-षिका;  श्वभ्रयिता-त्री, शिश्वभ्रयिषिता-त्री;  इत्यादीनि सर्वाण्यपि कर्णयतिवत् (१७०) ऊह्यानि। कर्मणि क्तप्रत्यये-  विश्वभ्रितः।
श्वर्त	१७९८	श्वर्त गतौ	१०-चुरादिः-१६२३। सक। सेट्। उभ।	से	सक	उभ	१७०			‘स्वर्त गत्यां च;  चकारात् कृच्छ्रजीवने’ इति क्षीरस्वामी। सर्वाण्यपि रूपाणि चौरादिककर्णयतिवत् (१७०) ज्ञेयानि।
श्वल	१७९९	श्वल आशुगमने	१-भ्वादिः-५४९। सक। सेट्। पर।	से	सक	पर	२८०			‘शल--’ इति क्षीरस्वामी। ‘आशुगतौ’ इति काशकृत्स्न-कातन्त्र- शाकटायनादयः। ‘--वेगे’ इति वोपदेवः। श्वालकः-लिका, श्वालकः-लिका, शिश्वलिषकः-षिका, शाश्वलकः-लिका;  इत्यादिकानि रूपाणि सर्वाण्यपि भौवादिकक्लथतिवत् (२८०) ऊह्यानि। औणादिके (द। उ। ८-१३२) वन्प्रत्यये उपधाया उत्वे च रूपमेवम्--शुल्वम् = स्त्रीपुरुषयोगः। कर्तरि क्तप्रत्यये--  प्रश्वलितः। घटादित्वप्रयुक्तकार्याणि न संभवन्ति।
श्वल्क	१८००	श्वल्क परिभाषणे	१०-चुरादिः-१५७०। सक। सेट्। उभ।	से	सक	उभ	३७५			‘-- भाषणे’ इति शाकटायनचन्द्रकाशकृत्स्नकातन्त्रादयः।  श्वल्ककः-ल्किका, शिश्वल्कयिषकः-षिका;  इत्यादिकानि रूपाणि सर्वाण्यपि चौरादिकगन्धयतिवत् (३७५) ऊह्यानि। ल्युटि-श्वल्कनम्। ‘सुश्वल्कनाः सुमधुरप्रियवल्कनाभिः…।।’ धा। का। ३-१७।
श्वल्ल	१८०१	श्वल्ल आशुगमने	१-भ्वादिः-५५०। सक। सेट्। पर।	से	सक	पर	५२८			सर्वाण्यपि रूपाणि भौवादिकचिल्लतिवत् (५२८) बोध्यानि।
श्वस	१८०२	श्वस प्राणने	२-अदादिः-१०६९। अक। सेट्। पर।	से	अक	पर	५२			‘प्रत्ययादा  श्वसन्त्यः’,  श्वासः,  श्वसनः,  आश्वस्तः-आश्वसितः। इतराणि सर्वाण्यपि रूपाणि आदादिकास्तिवत् (५२) बोध्यानि।
श्वि	१८०३	[टु अओ] श्वि गतिवृद्ध्योः	१-भ्वादिः-१०१०। सक। अक। सेट्। पर।	से	सक	पर	१८९			यजादिः। श्वायकः-यिका, श्वायकः-यिका, शिश्वयिषकः-षिका,  शेश्वीयकः-शोशूयकः-यिका;  श्वयिता-त्री, श्वाययिता-त्री, शिश्वयिषिता-त्री, शेश्वीयिता-शोशूयिता-त्री;  इत्यादीनि सर्वाण्यपि रूपाणि भौवादिककिधातुवत् (१८९) बोध्यानि।  शूनः-  उच्छूनः-शूनवान्,  उदश्वित्,  श्वयथुः,  श्वा-मातरिश्वा,  शवः,  श्वयीचिः, इत्यादीनि विशेषरूपाणि।  शेश्वीयमानः।
श्विता	१८०४	श्विता वर्णे	१-भ्वादिः-७४२। अक। सेट्। आत्म।	से	अक	आत्म	३२६	श्वितित्वा, श्वेतित्वा		‘-- शौक्ल्ये’ इत्येव वोपदेवः। सर्वाण्यपि रूपाणि भौवादिकक्ष्वेदतिवत् (३२६) बोध्यानि। श्वेतः,  श्वित्रम्, श्वितित्वा-श्वेतित्वा इति विशेषः।
श्विदि	१८०५	श्विदि श्वैत्ये	१-भ्वादिः-१०। अक। सेट्। आत्म।	से	अक	आत्म	२८४			‘-- शैत्ये’ इति जैन-कातन्त्रौ। ‘श्वेतस्य गुणस्यापि धातुना साध्यतया क्रमिकतया चाभिधानात् क्रियात्वम्। यदाह-- ‘श्वेततेः श्वेत इत्येकं श्वेतत्वेन प्रकाश्यते। आश्रितक्रमरूपत्वादभिधानं प्रवर्तते।।’ (वाक्यपदीयम् ३-३) इति’ इति माधवः। शिवन्दकः-न्दिका, शिश्विन्दिषकः-षिका, इत्यादिकानि रूपाणि सर्वाण्यपि क्लिन्दतिवत् (२८४) ज्ञेयानि।
षगे	१८०६	षगे संवरणे	१-भ्वादिः-७८९। सक। सेट्। पर।	से	सक	पर	१४२			धटादिः, षिच्च। ‘ष्ठगे’ इति क्वचित् पाठः।  सागकः-गिका, सगकः-गिका, सिसगिषकः-षिका, सासगकः-गिका;  इत्यादीनि समस्तान्यपि रूपाणि घाटादिककखति (१४२) वत् बोध्यानि।
षघ	१८०७	षघ हिंसायाम्	५-स्वादिः-१२६८। सक। सेट्। पर।	से	सक	पर	१६७२			सघ्नुवन्-शता। इतराणि सर्वाण्यपि रूपाणि सौवादिकशक्नोतिवत् (१६७२) बोध्यानि।
षच	१८०८	षच सेचने	१-भ्वादिः-१६३। सक। सेट्। आत्म।	से	सक	आत्म	१४४			‘सेवनेऽपि’ इति केचित्। ‘सेचने सचते, तच्च समवाये सचत्यपि।’ (श्लो। ४६) इति देवः। “केचित्तु परस्मैपदिभिः सह धातुमेनं पठन्ति… तदेतत् ‘ब्रुविशासिगुणेन च यत् सचते’ (भाष्यम् १-४-५१) इति भाष्य- विरोधादयुक्तम्” इति हरदत्तः (१-४-५१) ‘षप’ इति मैत्रेयशाकटाय- नादयः। सर्वाण्यपि रूपाणि भौवादिककचतिवत् (१४४) बोध्यानि।  सचिवः,  सक्तुः।
षच	१८०९	षच समवाये	१-भ्वादिः-९९७। अक। सेट्। उभ।	से	अक	उभ	१४४			‘सेचने समवाये च सचते, सचति क्रमात्’ (श्लो। ४६) इति देवः। सर्वाण्यपि रूपाणि भौवादिककचतिवत् (१४४) बोध्यानि।
षट	१८१०	षट अवयवे	१-भ्वादिः-३१३। अक। सेट्। पर।	से	अक	पर	१४८			सटा-सिंहादीनां शिरसि विद्यमानो रोमसंस्थानविशेषः, जटाद्याकारः। पचाद्य- जन्तात् टापि रूपम्। इतराणि समस्तान्यपि रूपाणि भौवादिककठतिवत् (१४८) बोध्यानि।
षट्ट	१८११	षट्ट हिंसायाम्	१०-चुरादिः-१६३४। सक। सेट्। उभ।	से	सक	उभ	२०७			‘सट्ट--’ इति क्षीरस्वामी। ‘षुट्ट--’ इति केचित्। चौरादिककुट्टयतिवत् (२०७) सर्वाणि रूपाण्यूह्यानि।
षण	१८१२	षण सम्भक्तौ	१-भ्वादिः-४६४। सक। सेट्। पर।	से	सक	पर	५८३			‘दाने सनोति सनुते, सम्भक्तौ तु सनेदिति।।’ (श्लो। १२८) इति देवः। सानकः-निका, सानकः-निका,  सिसनिषकः-सिषासकः-सिका,  सासायकः-संसनकः-निका;  सनिता-त्री, सानयिता-त्री, सिसनिषिता-सिषासिता-त्री, सासायिता-संसनिता-त्री;  इत्यादीनि सर्वाण्यपि रूपाणि ‘जनी प्रादुर्भावे’ (५८३) इतिवत् बोध्यानि।  सातः-सातवान्,  सातिः, सन्तिः-सतिः,  सेनिवान्-सनिंससनिवांसम्, सायमानः-सन्यमानः,  सानुः, इति विशेषरूपाणि।
षणु	१८१३	षणु दाने	८-तनादिः-१४६४। सक। सेट्। उभ।	से	सक	उभ	२९६			‘दाने सनोति सनुते, सम्भक्तौ तु सनेदिति।।’ (श्लो। १२८) इति देवः।   पशुषाः-पशुषौ-पशुषः, गोषाः-नृषाः,  सातिः, सन्तिः, सतिः, सनिंससनिवांसम्, सेनिवान्, सन्यम्-सायम्,  प्रसत्य,  सनिः,  सानसिः इति विशेषरूपाणि। इतराणि समस्तान्यपि रूपाणि तानादिकक्षणोतिवत् (२९६) बोध्यानि।
षदॢ	१८१४	षदॢ विशरणगत्यवसादनेषु	१-भ्वादिः-८५४-सक। अनिट्। पर।	अनि	सक	पर	३३८			ज्वलादिः। ‘ज्वलादेश्च तुदादेश्च सीदेद् विशरणादिके। पद्यतेरर्थ आसीदेद् आसादयति चाङि यौ।।’ (श्लो। १०८) देवः। “-- ‘विशमृशणुदप्रवेशामर्शक्षेपेषु षदॢ विशरणार्थः।’ इति च श्लोकधातु- पाठः।” इति पुरुषकारः। सादकः-दिका, सादकः-दिका, सिषत्सकः-त्सिका,  सासदकः-दिका;   सत्ता-सत्त्री, सादयिता-त्री, सिषत्सिता-त्री, सासदिता-त्री;  इत्यादीनि समस्तान्यपि रूपाणि भौवादिकखदतिवत् (३३८) ज्ञेयानि।  निषीदन्-प्रतिसीदन्-न्ती,   निषादः, सादः-सदः,  प्रासादः,  उपनिषत्-परिषत्-शुचिषत्-द्युसत्-दिविषत्,  बृसी,  विषण्णः-विषण्णवान्,  निषिषत्सुः,  सेदिवान्,  सद्रुः,  निषद्या,  सादी,  सेदिः;   सदः,  निषद्वरः,  सादिः,   सत्त्रम् इतीमानि विशेषरूपाणि।
षद	१८१५	[आङः] षद पद्यर्थे	१०-चुरादिः-१८३२। सक। सेट्। उभ।	से	सक	उभ	५६२			आधृषीयः। पद्यर्थः = ‘पद गतौ’ इति धातोरर्थो गतिः। ‘गतौ’ इति फलितम्। चौरादि- कच्छादयतिवत् (५६२) रूपाण्यूह्यानि। आधृषीयत्वात् णिज्विकल्प इति विशेषः।
षदॢ	१८१६	षदॢ विशरणगत्यवसादनेषु	६-तुदादिः-१४२७। सक। अनि। पर।	अनि	सक	पर	१८१५			शतरि नुम्विकल्पे सीदन्ती-सीदती इति द्वे रूपे। तदर्थमेव भौवादिकेषु पठि- तस्यास्यात्र तुदादौ पुनः पाठः। ‘स्वरार्थं पुनः पाठः’ इति केचित्। केचिन्नै- वामुमत्र पठन्ति। सर्वाण्यपि रूपाणि भौवादिकसीदतिवत् (१८१५) बोध्यानि।
षन्ज	१८१७	षन्ज सङ्गे	१-भ्वादिः-९८७। सक। अनि। पर।	अनि	सक	पर	१६०	सक्त्वा, सङ्क्त्वा		सजन्-अभिषजन्-न्ती,  अङ्गुलिषङ्गा यवागूः,  प्रासङ्गः-उत्सङ्गः-निषङ्गः,  अभिषिषङ्क्षुः,  सक्तः-सक्तवान्,  सक्त्वा-सङ्क्त्वा,  सक्थि, इति विशेष-  रूपाणि। इतराणि सर्वाण्यपि रूपाणि कत्थतिवत् (१६०) बोध्यानि।
षप	१८१८	षप समवाये	१-भ्वादिः-४००। अक। सेट्। पर।	से	अक	पर	५०२			समवायः = सम्बन्धः, सम्यगवबोधो वा। सप्तिः--‘क्तिच्क्तौ च संज्ञायाम्’ (३-३-१७४) इति संज्ञायां क्तिच्। सप्तिः = अश्वः। सप्त--औणादिकः कनिन्प्रत्ययः, तुडागमश्च। सर्वाण्यपि रूपाणि भौवादिकचयतिवत् (५०२) बोध्यानि।
षम	१८१९	षम अवैक्लव्ये	१-भ्वादिः-८२९। अक। सेट्। पर।	से	अक	पर	८७६			सर्वाण्यपि रूपाणि भौवादिकद्रमतिवत् (८७६) बोध्यानि।  समः,  सुषमः- विषमः-निःषमः-दुःषमः। अमन्तत्वेन मित्त्वात् णिजन्ते ह्रस्वः, समकः-मिका, सिसमिषकः, संसमकः, सम्समकः-मिका;  इत्यादीनि रूपाणि।
षम्ब	१८२०	षम्ब सम्बन्धे	१०-चुरादिः-१५५५। अक। सेट्। उभ।	से	अक	उभ	१७०			‘शम्ब--’ इत्येके। ‘साम्ब’ इति दीर्घादिं सकारादिं च केचित् पठन्ति। रूपाणि तु कर्णयतिवत् (१७०) बोध्यानि। अत्र मध्ये ‘षय गतौ’ (भ्वादिः। सक। सेट्। आत्म) इति क्वचित् इति सायणः। अन्ये सर्वेऽपि न पठन्ति।
षर्ज	१८२१	षर्ज अर्जने	१-भ्वादिः-२२५। सक। सेट्। पर।	से	सक	पर	१६९			‘सर्ज--’ इति क्षीरस्वामी। सर्जूः--औणादिक ऊप्रत्ययः। रूपाणि सर्वाणि कर्जतिवत् (१६९) बोध्यानि।
षर्ब	१८२२	षर्ब गतौ	१-भ्वादिः-४२४। सक। सेट्। पर।	से	सक	पर	१७३-^आ			रूपाणि सर्वाण्यपि भौवादिककर्वतिवत् (१७३-^आ) ज्ञेयानि।
षर्व	१८२३	षर्व हिंसायाम्	१-भ्वादिः-५८६-सक। सेट्। पर।	से	सक	पर	१७३-^आ			भौवादिककर्वतिवत् (१७३-^आ) रूपाणि बोध्यानि।
षल	१८२४	षल गतौ	१-भ्वादिः-५४७। सक। सेट्। पर।	से	सक	पर	३८७			‘सल--’ इति क्षीरस्वामी। सालः-वप्रः, घञ्। सलिलम् ‘सलिकलि--’  (पञ्चपाद्युणादिः १-५४) इति औणादिकः इलच्। समस्तान्यपि रूपाणि भौवादिकगलतिवत् (३८७) बोध्यानि।
षस	१८२५	षस स्वप्ने	२-अदादिः-१०७८। अक। सेट्। पर।	से	अक	पर				‘-- षसने’ इति सुधाकरक्षीरस्वामिनौ। छान्दसोऽयमिति भाष्यादौ ‘जक्षित्यादयः षट्’ (६-१-६) इत्यत्र स्पष्टम्। केचित् छान्दसत्वं नाभ्युपगच्छ- न्ति।  सस्यम्,  सास्ना।
षस्ज	१८२६	षस्ज गतौ	१-भ्वादिः-२०२। सक। सेट्। पर।	से	सक	पर	१२३५			‘यदभिप्रायेषु सज्जते’ (भाष्यम् ३-१-२६) ‘प्रकृतेर्गुणसंमूढाः सज्जन्ते गुणकर्मसु’ (गीता ३-२९) ‘सज्जमानमकार्येषु’ (कामन्दकनीतिसारः ४-४१) इत्यादिषु आत्मनेपदप्रयोगात् उभयपदत्वं न्याय्यम्। वर्धमानादयः आत्मनेपदं दूषयन्तीति माधवाचार्यैः प्रतिपादितम्। वर्धमानाद्युक्तिर्भाष्यादिविरोधात् उपेक्ष्या।  सज्जकः-ज्जिका, सज्जकः-ज्जिका, सिसज्जिषकः-षिका, सासज्जकः-ज्जिका;  सज्जिता-त्री, सज्जयिता-त्री, सिसज्जिषिता-त्री, सासज्जिता-त्री;  इत्यादीनि रूपाणि सर्वाणि भौवादिकमज्जतिवत् (१२३५) बोध्यानि।
षह	१८२७	षह मर्षणे	१-भ्वादिः-८५२। सक। सेट्। आत्म।	से	सक	आत्म	१५८२			ज्वलादिः। ‘मर्षणे सहते, यौ तु साहयेत् सहति द्वयम्। श्यनि सह्यति शक्यार्थे--।।’ (श्लो। १९७) इति देवः। साहकः-हिका, साहकः-हिका,  सिसहिषकः-षिका, सासहकः-हिका;   सोढा-  सोढ्री-सहिता-त्री, साहयिता-त्री, सिसहिषिता-त्री, सासहिता-त्री;  इति समस्तान्यपि रूपाणि भौवादिकवहतिवत् (१५८२) बोध्यानि।  परिषहमाणः-निषहमाणः-विषहमाणः,  विसहनेकृत्य,  साह्वान्,  सह्यम्,  पृतनाषाट्-ऋताषाट्-तुराषाट्,  सहनः,  सहमानः,  सहिष्णुः,  साहयः,  सर्वसहः-शत्रुंसहः,  सर्वंसहा, भोक्तुं  सहमानः,   सासहिः,  साहः-सहः,  उत्साही,  सहित्रम्,  सिसाहयिषुः,  षट्,  सहसानः, इतीमानि विशेषरूपाणि।
षह	१८२८	षह चक्यर्थे	४-दिवादिः-११२८। अक। सेट्। पर।	से	अक	पर				चक्यर्थः = तृप्तिः। प्राचां मतेऽस्याप्रामाणिकः पाठ इति माधवः। देवश्लोकः पूर्धधातौ द्रष्टव्यः। रूपाणि समस्तान्यपि पूर्वधातुवत् ज्ञेयानि। अयं सेट्, शतरि--सह्यन् इति भवतीतिं विशेषः।
षह	१८२९	षह मर्षणे	१०-चुरादिः-१८१०। सक। सेट्। उभ।	से	सक	उभ	५५४			आधृषीयः। अस्मादेव धातोः साह्वान् इति (णिजभावपक्षे) शुद्धात् निपात्यते इति कैयटः (६-२-१२)। रूपाणि आधृषीयचर्पयतिवत् (५५४) बोध्यानि।
षान्त्व	१८३०	षान्त्व सामप्रयोगे	१०-चुरादिः-१५६९। सक। सेट्। उभ।	से	सक	उभ	६९८			‘सान्त्व--’ इति क्षीरस्वामिप्रभृतयः। सामप्रयोगः = प्रियवाक्येन उपच्छन्दनम्। चौरादिकतन्त्रयतिवत् (६९८) सर्वाणि रूपाणि बोध्यानि।
षिच	१८३१	षिच क्षरणे	६-तुदादिः-१४३४। सक। अनि। पर।	अनि	सक	पर	१२७५			मुचादिः। सेचकः-चिका, सेचकः-चिका,  सिसिक्षकः-क्षिका,  सेसिचकः-चिका;   सेक्ता-सेक्त्री, सेचयिता-त्री, सिसिक्षिता-त्री, सेसिचिता-त्री;  इत्यादीनि रूपाणि तौदादिकमुञ्चतिवत् (१२७५) बोध्यानि।  अभिषिञ्चन्- परिषिञ्चन्-न्ती-ती,  निषेकः, अभिषेकः,  सेक्त्रम्,  सिक्थम् इति विशेष- रूपाणि।
षिञ्	१८३२	षिञ् बन्धने	५-स्वादिः-१२४८। सक। अनि। उभ।	अनि	सक	उभ	५१९			‘सिनोति सिनुते बन्धे सिनीते च सिनाति च।’ (श्लो। १५) इति देवः। सर्वाण्यपि रूपाणि सौवादिकचिन्वतिवत् (५१९) बोध्यानि।  इति प्रक्रियासर्वस्वम्।]] सिनो ग्रासः स्वयमेव, सितः, केशेषु केशैर्वा  प्रसितः,  सयः-विषयः,  परिषि- ण्वन्-निषिण्वन्-विषिण्वन्-ती,  सेरुः,  पुरुषः-पूरुषः,  सेत्रम्,  सेतुः,   सीरम्, इति विशेषरूपाणि।
षिञ्	१८३३	षिञ् बन्धने	९-क्र्यादिः-१४७७। सक। अनि। उभ।	अनि	सक	उभ	१८३२			‘सिनोति सिनुते बन्धे, सिनीते च सिनाति च।’ (श्लो। १५) इति देवः। शतृशानचोः--सिनन्-ती, सिनानः इति रूपे। इतराणि समस्तान्यपि रूपाणि पूर्वधातुवत् (१८३२) ऊह्यानि।
षिट	१८३४	षिट अनादरे	१-भ्वादिः-३०४। सक। सेट्। पर।	से	सक	पर	१९०			‘किट त्रासे’ इति भौवादिकधातुवत् (१९०) रूपाणि ज्ञेयानि।
षिध	१८३५	षिध गत्याम्	१-भ्वादिः-४७। सक। सेट्। पर।	से	सक	पर	१७४८	सिधित्वा, सेधित्वा		काश्यपक्षीरस्वामिनौ धातुममुम् उदितं पठन्ति, ‘ततः परं सिध्यतिरेव नेतरे।’ (व्याघ्रभूतिकारिका ७-२-१०) इति वृत्तिविरोधात् तावुपेक्ष्यौ-- इति माधवः। विस्तरश्च तत्रैव धातुवृत्तौ द्रष्टव्यः। देवीऽपि ‘सिधेः सिध्यति संराद्धौ सेधतीत्युदितो गतौ। शास्त्रमाङ्गल्ययो रूपमूदितस्तदिटा भिदा।।’ (श्लो। ११६) इति उदित्पक्षमेवाङ्गीकृतवान्।  सिधित्वा-सेधित्वा, सिसेधिषकः-सिसिधिषकः-षिका,  अभिषेधन्-परिषेधन्-न्ती,  अभिसेधयन् गाः,  सुषेधः-दुःषेधः-निःषेधः,  सिध्रः,  सिध्रकः-सिध्रकावणम्;   इतीमानि विशेषरूपाणि। इतराणि समस्तान्यपि रूपाणि भौवादिकशर्धतिवत् (१७४८) बोध्यानि।
षिधु	१८३६	षिधु संराद्धौ	४-दिवादिः-११९२। सक। अनि। पर।	अनि	सक	पर		सिधित्वा, सेधित्वा		‘सिधेः सिध्यति संराद्धौ--’ (श्लो। ११६) इति देवः। संराद्धिः = निष्पत्तिः। “केचिदूदितं पठन्ति;  तदसत्। अनुदात्तोपदेशवै- यर्थ्यात्” इति माधवः।  सिद्ध्यः,  सिधित्वा-सेधित्वा-सिद्ध्वा,  सिद्धः,  साङ्काश्यसिद्धः,  अन्नं साधयन्, तपः सेधयन्, इति विशेषरूपाणि। इतराणि सर्वाण्यपि पूर्वधातुवत् ज्ञेयानि।
